Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,12766,AAHAN PAUL,14,14,0,14,1,430,0,33.08,0,0,0,8,1
2,7284,NEELOTPAL BAURI,10,10,0,10,0,300,0,30,9,221,24.56,7,0
3,9674,ANINDRA NATH RAY,11,11,0,10,0,255,0,25.5,14,351,25.07,6,0
4,9362,ARNAB MUKHERJEE,8,8,0,8,1,245,0,35,0,0,0,2,0
5,9300,ARCHISMAN PODDER,9,9,0,9,1,148,0,18.5,0,0,0,0,0
6,10881,AKASH MANDAL,8,8,0,8,3,127,0,25.4,0,147,0,3,0
7,10987,PARTHAJIT DEY,10,10,0,10,2,117,0,14.63,1,133,133,2,0
8,7079,ANKIT BURNWAL,8,8,0,7,0,110,0,15.71,5,197,39.4,2,0
9,10395,RIT DEBANSHI,4,4,0,4,1,99,0,33,2,82,41,1,0
10,8111,ISOLT ROY,13,13,0,10,2,80,0,10,26,569,21.88,3,0
11,9948,AYUSH MUKHERJEE,8,8,0,7,0,80,0,11.43,2,117,58.5,1,0
12,14121,ARKA MAITY,11,11,0,8,5,70,0,23.33,1,39,39,1,0
13,14425,RISHAV MITRA,4,4,0,4,1,43,0,14.33,0,31,0,0,0
14,8385,UTSAV TARAFDER,6,6,0,5,1,39,0,9.75,9,242,26.89,2,0
15,18309,SAYAN GHOSH,3,3,0,3,0,30,0,10,0,0,0,5,0
16,9544,DAYASHANKAR GOSWAMI,3,3,0,3,0,27,0,9,0,0,0,2,0
17,10484,SAUMADEEP SAHA,4,4,0,4,0,24,0,6,0,0,0,2,0
18,17021,SAGNIK SINHA,6,6,0,5,2,21,0,7,0,14,0,0,0
19,21557,RACHIT BAID,2,2,0,2,0,18,0,9,0,0,0,2,0
20,15985,SATGUN SINGH GUNDEO,7,7,0,7,2,18,0,3.6,0,58,0,0,0
21,9582,PRATYUSH BANERJEE,3,3,1,2,0,15,0,7.5,0,50,0,1,0
22,19364,TAUSIF ALAM,5,5,0,4,0,10,0,2.5,3,168,56,0,0
23,12481,NELESH CHATTERJEE,1,1,0,1,0,6,0,6,0,0,0,0,0
24,12604,ANGSHUMAN GHOSH,3,3,0,3,0,5,0,1.67,0,0,0,1,0
25,21521,BIBEKANONDA MANDAL,1,1,0,1,0,4,0,4,0,0,0,0,0
26,9514,SOUVIK NANDI,3,3,0,2,0,4,0,2,5,113,22.6,1,0
27,18316,SHREYAS DEY,2,2,0,0,0,0,0,0,0,36,0,0,0
28,21558,VAIBHAV SINGH,2,2,0,2,0,0,0,0,0,11,0,0,0
29,20353,HRISHITH BASU,8,8,0,4,1,0,0,0,7,238,34,0,0
