Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,9319,SPARSH MIMANI,17,17,0,17,2,803,4,53.53,0,0,0,9,0
2,9085,RAUSHAN KUMAR,17,17,0,17,1,598,2,37.38,24,885,36.88,3,0
3,10961,ADREET DAS,14,14,0,13,4,376,0,41.78,17,442,26,9,0
4,11995,SACHIN YADAV,9,9,0,9,0,290,0,32.22,22,519,23.59,4,0
5,6745,BANTI MONDAL,10,10,0,10,0,223,0,22.3,0,49,0,1,0
6,9680,KISHAN SINGH (JR),10,10,0,10,0,190,0,19,0,0,0,7,0
7,9230,KARANDEEP SINGH MANJIRA,9,9,0,9,2,166,0,23.71,5,158,31.6,3,0
8,15066,SOURISTO ASH,5,5,0,5,2,164,0,54.67,0,0,0,3,0
9,10232,AARAV CHANDAK,5,5,0,5,0,140,0,28,1,14,14,0,0
10,10201,MAYANK SINGH,7,7,0,6,0,106,0,17.67,0,0,0,0,0
11,13924,KOUSHIK BOURI,7,7,0,7,2,86,0,17.2,4,220,55,2,0
12,9524,HARSH SINGH,8,8,0,7,0,80,0,11.43,2,77,38.5,7,1
13,9167,SUPRABHAT BHATTACHARJEE,5,5,0,5,1,64,0,16,0,54,0,1,0
14,17250,VANSH GOENKA,8,8,0,5,1,60,0,15,0,0,0,7,0
15,10355,PRIYANGSHU NATH,5,5,0,3,0,42,0,14,7,217,31,2,0
16,17456,NIRUPAM BARMAN,3,3,0,3,0,39,0,13,0,5,0,1,0
17,9375,RAHUL SHAW,5,5,0,5,1,36,0,9,5,158,31.6,2,0
18,11248,SAUHARDYA DAS,4,4,0,4,2,25,0,12.5,0,45,0,3,0
19,13658,TIYAS DAS,2,2,0,2,0,20,0,10,0,0,0,0,0
20,13922,ABHISHEK KUMAR,12,12,0,6,3,18,0,6,18,452,25.11,2,0
21,9369,SOURAV MONDAL,4,4,0,3,0,14,0,4.67,0,0,0,1,0
22,10688,SARBAJEET MONDAL,2,2,0,2,0,13,0,6.5,0,33,0,0,0
23,9682,SUPRATIM PAUL,2,2,0,2,1,9,0,9,0,0,0,1,0
24,8770,ABHISHEK THAKUR,8,8,0,5,2,6,0,2,6,230,38.33,1,0
25,18048,SAGAR SARDAR,2,2,0,2,0,5,0,2.5,0,0,0,0,1
26,10451,SIDDHANT BASU,2,2,0,2,0,4,0,2,0,14,0,0,0
27,19674,ARYAN RAJ,1,1,0,1,0,2,0,2,0,20,0,0,0
28,8870,DEB SAHIS,1,1,0,0,0,0,0,0,0,31,0,0,0
29,12856,ABHISHEK DAS,3,3,0,3,0,0,0,0,2,164,82,0,0
