Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,816,TANAY BAG,22,22,0,22,5,646,1,38,0,15,0,13,0
2,4873,SANJIB KUMAR SHARMA,22,22,0,21,2,608,2,32,0,0,0,21,6
3,1374,SOMEN CHAKRABORTY,17,17,0,17,1,544,0,34,0,0,0,4,0
4,8424,JAGMOHAN PRASAD GUPTA,18,18,0,18,3,416,1,27.73,4,201,50.25,5,0
5,1462,SWAGATO GANGOPADHYAY,16,16,0,15,1,411,0,29.36,0,0,0,6,0
6,708,LOKESH KUMAR SHARMA,18,18,0,18,0,344,0,19.11,16,521,32.56,4,0
7,6294,RAHUL CHOWDHARY,18,18,0,18,0,332,1,18.44,0,28,0,10,0
8,7527,SHAHEED MARANDI,17,17,0,14,1,246,0,18.92,6,176,29.33,3,0
9,117,JITENDER SHAW,23,23,0,17,5,132,0,11,64,1180,18.44,8,0
10,21567,ANUJ PAL,7,7,0,5,2,113,0,37.67,10,263,26.3,3,0
11,9660,ERIC LOHARA,3,3,0,3,0,110,0,36.67,0,0,0,0,0
12,10831,RIK DAS,6,6,0,6,1,80,0,16,0,0,0,1,0
13,12183,BHAGAT SINGH,6,6,1,5,1,79,0,19.75,0,0,0,1,0
14,8366,DEBANGSHU PAKHIRA,11,11,0,9,1,65,0,8.13,13,401,30.85,3,0
15,8682,ADITYA KUMAR GIRI,16,16,0,10,1,42,0,4.67,21,544,25.9,2,0
16,8004,ABHISHEK PANDEY,5,5,0,4,1,29,0,9.67,3,220,73.33,0,0
17,4771,SANJAY BERA,3,3,0,3,0,27,0,9,0,0,0,0,0
18,18563,ANUJ BHARADWAJ,2,2,0,2,1,6,0,6,0,64,0,1,0
19,131,MONOJIT GHOSH,5,5,0,3,0,6,0,2,5,143,28.6,0,0
20,11324,ROHIT GANGULY,1,1,0,1,0,5,0,5,0,11,0,0,0
21,8423,SOHAIB AKHATAR,11,11,0,7,5,5,0,2.5,16,408,25.5,4,0
22,21568,DEEPAK YADAV,7,7,1,3,1,5,0,2.5,6,154,25.67,3,0
23,8773,SOHAIL KHAN,1,1,0,1,1,0,0,0,1,27,27,0,0
