Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,9706,ANIKET CHAKRABORTY,17,17,0,17,1,782,3,48.88,5,153,30.6,7,0
2,6710,SHREYAM NANDY,14,14,0,13,2,454,1,41.27,0,51,0,1,0
3,11244,SAMARJEET SINGH,9,9,0,9,1,415,1,51.88,0,0,0,0,0
4,1366,HARIHAR SARKAR,17,17,0,12,1,339,0,30.82,32,821,25.66,12,0
5,1913,SANDIP DAS,13,13,0,11,1,230,0,23,0,0,0,10,2
6,9115,BIBHAS BISWAS,10,10,0,10,2,192,0,24,1,73,73,0,0
7,8279,RAJESH YADAV,17,17,0,13,2,183,0,16.64,46,840,18.26,5,0
8,6884,ADHIRAJ DHAR,6,6,0,6,0,140,0,23.33,0,0,0,4,0
9,7392,BIKRAM MAJHI,5,5,0,5,1,116,0,29,1,62,62,1,0
10,17058,ARANYA MUKHERJEE,16,16,0,10,5,90,0,18,11,410,37.27,2,0
11,8010,ARINDAM ADHIKARI,6,6,0,5,1,87,0,21.75,2,78,39,3,0
12,8368,MANAV BINAKIYA,11,11,0,10,5,62,0,12.4,8,437,54.63,1,0
13,8178,AFNAN MONDAL,3,3,1,2,1,62,0,62,0,4,0,2,0
14,21556,PRITAM BISWAS,3,3,0,3,0,48,0,16,0,0,0,2,1
15,12125,SAMRAT PAUL,4,4,0,4,0,47,0,11.75,0,0,0,0,0
16,19357,ADRIBHU KUMAR MAJUMDAR,6,6,0,4,1,45,0,15,3,109,36.33,0,0
17,9352,BISWAJIT DAS,2,2,0,2,0,39,0,19.5,0,0,0,3,0
18,12706,SOUPARNO CHANDRA,3,3,0,3,0,24,0,8,0,0,0,0,0
19,9337,SOUVICK MITRA,3,3,0,2,0,18,0,9,0,0,0,0,0
20,17611,CHIRANTAN SAHOO,5,5,0,5,0,15,0,3,0,0,0,0,0
21,7050,ABHRADEEP DAS,2,2,0,2,0,9,0,4.5,0,0,0,1,0
22,21505,ADITYA SINGH,4,4,0,1,0,6,0,6,4,124,31,0,0
23,10662,HRIDAY SHARMA,1,1,0,1,0,2,0,2,0,0,0,1,0
24,21564,AYUSH KUMAR SHAW,4,4,0,2,1,0,0,0,0,0,0,1,0
25,18628,ROHIT DEY,3,3,0,2,1,0,0,0,4,62,15.5,0,0
26,10783,AYUSSH KANWAR,1,1,0,0,0,0,0,0,0,28,0,0,0
27,13331,AKASH PAUL,2,2,0,1,0,0,0,0,2,42,21,0,0
28,8022,PRASANTA BHAKAT,1,1,0,0,0,0,0,0,0,28,0,0,0
