Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,8317,VIRAJ KRISHNA,22,22,0,19,3,801,1,50.06,1,83,83,13,0
2,470,UDDIPAN MUKHERJEE,22,22,0,19,8,665,0,60.45,13,341,26.23,7,0
3,12414,GAURAV ASHOK JATHAR,15,15,0,15,3,650,2,54.17,0,25,0,5,0
4,44,SAYAN MUKHERJEE,18,18,0,16,0,381,0,23.81,0,0,0,8,2
5,18592,GAUTAM RAGHUWANSHI,13,13,0,13,0,333,0,25.62,9,206,22.89,3,0
6,21639,HARSH TYAGI,10,10,0,9,2,319,1,45.57,0,18,0,1,0
7,4433,KEVIN GREGORY D ALMEIDA,8,8,0,8,1,311,1,44.43,3,15,5,1,0
8,1997,SHUBHAM SAHA,15,15,1,12,1,197,0,17.91,0,0,0,16,0
9,10544,SNEHASIS MONDAL,14,14,0,12,2,134,0,13.4,0,0,0,14,3
10,914,RAJARSHI MITRA,16,16,0,12,0,110,0,9.17,33,696,21.09,1,0
11,7125,GOLAM MUSTAFA,14,14,0,9,1,104,0,13,12,421,35.08,6,0
12,386,BAPI MANNA,22,22,0,8,4,74,0,18.5,39,904,23.18,0,0
13,9481,SAMRAT DAS,4,4,0,4,0,53,0,13.25,0,0,0,1,0
14,6075,PINTU KUMAR,22,22,0,11,3,49,0,6.13,30,668,22.27,6,0
15,1674,ABHISHEK CHOUDHURY,6,6,0,6,1,45,0,9,0,0,0,2,0
16,18547,AKSHAY SAIN,3,3,0,1,1,19,0,19,6,90,15,2,0
17,6155,GIRIRAJ VYAS,11,11,0,5,1,18,0,4.5,10,270,27,2,0
18,8923,PALLAV PAUL,5,5,1,3,1,11,0,5.5,2,71,35.5,2,0
19,8785,HIMANSHU SHARMA,10,10,0,4,3,4,0,4,8,195,24.38,2,0
20,8707,MANAS MONDAL,3,3,1,2,0,3,0,1.5,0,0,0,1,0
21,12207,DILSAD NUR,2,2,1,1,1,1,0,1,0,0,0,1,0
22,19222,SAGAR GOSWAMI,3,3,1,1,1,1,0,1,0,0,0,1,0
