Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,7890,VIKASH MEENA,15,15,0,14,2,508,2,42.33,27,661,24.48,10,0
2,6556,LOHIT SINGH,16,16,0,16,1,503,1,33.53,12,239,19.92,6,0
3,17190,SHREYAM GHOSH,15,15,0,14,0,353,1,25.21,0,0,0,5,0
4,8912,SAGAR DEY,13,13,0,13,4,275,1,30.56,0,0,0,11,9
5,8649,BIPLAB ADHIKARY,15,15,0,12,3,265,0,29.44,21,502,23.9,7,0
6,7551,JAHIR KHAN,15,15,0,11,1,257,1,25.7,24,518,21.58,5,0
7,13610,FARHAN SEMIM,14,14,0,12,2,161,0,16.1,0,0,0,2,0
8,5321,SOURAV GHOSH,10,10,1,9,1,146,0,18.25,0,0,0,4,0
9,11267,RUDRA MUKHERJEE,4,4,0,4,0,133,1,33.25,0,0,0,0,0
10,518,KAUSHIK DEB,16,16,0,10,2,121,0,15.13,30,707,23.57,4,0
11,1432,AMITAVA CHAUDHURI,9,9,0,6,1,86,0,17.2,0,0,0,6,0
12,8065,KOUSTAV KUMAR DHAR,5,5,0,5,0,72,0,14.4,0,0,0,3,0
13,7155,ARPAN SANYASI,4,4,0,4,1,41,0,13.67,0,0,0,2,0
14,521,CHOTTU SARKAR,4,4,0,3,0,36,0,12,6,75,12.5,1,0
15,6320,RAJESH DAS,2,2,0,2,0,25,0,12.5,0,0,0,0,0
16,10275,PUSHPAL HALDER,4,4,1,2,0,15,0,7.5,0,20,0,2,0
17,14471,AANEET SANA,2,2,0,2,0,9,0,4.5,0,0,0,1,0
18,10957,SUMIT PANDIT,7,7,0,4,4,2,0,2,6,196,32.67,5,0
19,21623,SUYASH MISHRA,2,2,0,2,1,1,0,1,2,108,54,0,0
20,12690,VICTOR ADAK,2,2,0,1,0,1,0,1,0,0,0,0,0
21,12256,BHANU KUMAR,2,2,0,1,1,1,0,1,4,48,12,0,0
22,21622,SHRISHAM MISHRA,1,1,0,0,0,0,0,0,0,12,0,0,0
23,13190,DANIYAL CHOUDHURY,1,1,0,0,0,0,0,0,0,26,0,0,0
