Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,4530,ABHIJEET BHAGAT,25,25,0,23,0,892,2,38.78,25,713,28.52,14,0
2,3625,MOHIT ROY,19,19,0,19,1,777,2,43.17,0,0,0,8,0
3,5881,ARIN ROY,24,24,0,22,4,528,0,29.33,6,281,46.83,9,0
4,9394,MOHAMMAD IRFAN,13,13,0,13,1,435,1,36.25,12,398,33.17,8,0
5,4149,VIKRANT SINGH RAJPUT,15,15,0,14,0,378,1,27,5,124,24.8,4,0
6,3742,P SOMESHWAR RAO,24,24,0,17,3,346,0,24.71,19,682,35.89,4,0
7,21624,VAIBHAV PANDEY,13,13,0,12,0,278,0,23.17,0,18,0,8,0
8,8531,HAMZA ALI,6,6,0,6,0,163,1,27.17,0,0,0,1,0
9,257,ANIRBAN GUPTA,25,25,0,17,5,136,0,11.33,37,1124,30.38,0,0
10,21657,PRATIK SHRIKANT ATHAVALE,6,6,0,6,0,127,0,21.17,0,10,0,5,0
11,10729,SAYANTAN MONDAL,11,11,1,8,1,117,0,16.71,0,2,0,1,0
12,21535,DHARMENDRA THAKUR,13,13,0,11,1,115,0,11.5,12,380,31.67,4,0
13,1532,SOUVIK MOITRA,8,8,0,8,1,99,0,14.14,0,0,0,5,0
14,10527,SUPROJIT PURKAIT,8,8,0,7,2,85,0,17,0,0,0,6,2
15,5867,SUMAN DAS,24,24,0,13,5,83,0,10.38,36,1206,33.5,1,0
16,261,SHANTADEEP PAL,6,6,0,5,0,74,0,14.8,0,0,0,0,0
17,3290,SOUMYABRATA NATH,8,8,0,6,1,63,0,12.6,0,0,0,1,1
18,21536,SPARSH JAIN,3,3,0,3,2,46,0,46,1,58,58,0,0
19,668,PREETAM BISWAS,8,8,0,4,3,28,0,28,10,195,19.5,3,0
20,274,ARINDAM ROY,13,13,0,9,3,26,0,4.33,0,0,0,9,0
21,21490,SAHIL KUMAR,2,2,0,2,0,5,0,2.5,0,11,0,0,0
22,4981,AVINASH SHARMA,2,2,0,2,2,2,0,2,1,90,90,0,0
