Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,2193,PRANJAL DAS,17,17,0,15,2,539,1,41.46,0,0,0,5,0
2,12784,HARSH PANDEY,15,15,0,14,0,328,0,23.43,0,0,0,4,0
3,8407,SOUMYAJIT DUTTA,16,16,0,15,2,316,0,24.31,30,610,20.33,6,0
4,7282,SOUBHAGYA SUNDAR PAKREH,14,14,0,11,1,283,0,28.3,34,603,17.74,6,0
5,9799,PULAK OJHA,14,14,0,11,0,222,0,20.18,0,0,0,6,2
6,9474,SOUVIK CHATTERJEE,14,14,0,12,0,219,0,18.25,3,272,90.67,5,0
7,10999,ROUNAK KESHRI,6,6,0,6,0,212,0,35.33,0,0,0,2,0
8,7933,AMAN KUMAR PRAJAPATI,12,12,0,10,4,173,0,28.83,6,191,31.83,1,0
9,10611,AAKSHAY NASKAR,8,8,0,7,0,171,0,24.43,0,0,0,1,0
10,9452,ABHIJIT SEN,12,12,0,11,0,163,0,14.82,10,229,22.9,2,0
11,13236,ADDRISH KUMAR MONDAL,11,11,0,8,2,64,0,10.67,1,75,75,7,0
12,10665,YUVARAJ SAHA,4,4,0,3,0,49,0,16.33,0,0,0,0,0
13,10886,ARANI GHOSH,4,4,0,2,1,39,0,39,0,0,0,1,0
14,11170,RAHIL YADAV,2,2,0,2,0,36,0,18,0,0,0,1,1
15,6795,AYUSHMITH SAHA,3,3,0,3,1,23,0,11.5,1,35,35,0,0
16,10107,ANIRUDDHA SADHU,3,3,0,3,2,17,0,17,2,75,37.5,0,0
17,11586,ALOK KUMAR SINGH,3,3,0,2,0,11,0,5.5,1,49,49,1,0
18,17360,SAYAN MANDAL,2,2,0,1,0,9,0,9,0,0,0,0,0
19,15693,SOURAV RAJ MAHATO,3,3,0,3,0,6,0,2,0,0,0,0,0
20,7590,RAKESH GOND,16,16,0,8,6,1,0,0.5,30,816,27.2,7,0
21,17654,SAMRIDH DEY,1,1,0,1,1,1,0,1,0,0,0,0,0
22,13718,SHOURYA PRASAD RISHAV,1,1,0,0,0,0,0,0,0,0,0,1,0
23,14329,GOURAV DEY,1,1,1,0,0,0,0,0,0,0,0,1,0
24,8589,SAGNICK GHOSH,2,2,0,1,0,0,0,0,0,0,0,0,0
25,13966,AYUSH GHOSH,1,1,0,1,0,0,0,0,0,26,0,0,0
26,13509,MOHD HAIDER,3,3,0,1,1,0,0,0,3,85,28.33,1,0
