Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,18488,KRISH AGARWAL,16,16,0,16,2,527,2,37.64,3,185,61.67,11,0
2,774,SOUPTIK BISWAS,13,13,0,13,0,379,0,29.15,0,0,0,2,0
3,6114,SYED MOINUDDIN,13,13,0,13,1,311,1,25.92,5,27,5.4,3,0
4,3292,ROHIT SEN,17,17,0,15,3,263,0,21.92,26,529,20.35,4,0
5,4142,RAJA SHAW,15,15,0,15,2,188,0,14.46,34,588,17.29,8,0
6,6077,RUDRA CHATTERJEE,9,9,0,9,0,143,0,15.89,0,0,0,3,0
7,8921,SOUMYADEEP CHAKRABORTY,13,13,0,10,0,133,0,13.3,7,174,24.86,4,0
8,6601,AMAJAD ALI,17,17,0,14,4,129,0,12.9,29,807,27.83,13,0
9,1900,MEGHDUT NASKAR,8,8,0,8,1,126,0,18,2,56,28,7,0
10,8289,MO. MONIS,9,9,1,7,0,108,0,15.43,0,0,0,3,0
11,21502,AKASH PANDEY,7,7,0,6,0,94,0,15.67,0,0,0,2,1
12,11387,EZAZ HABIB LASKAR,6,6,0,6,0,84,0,14,0,0,0,1,0
13,16255,SK FAAIZ AHAMED,14,14,0,9,2,71,0,10.14,8,165,20.63,2,0
14,10602,ALAPAN HALDER,6,6,0,4,0,69,0,17.25,4,91,22.75,0,0
15,18637,MOHD FAIZAN,12,12,0,7,5,21,0,10.5,10,334,33.4,6,0
16,12434,SWARNENDU NANDY,2,2,0,2,0,16,0,8,0,0,0,1,0
17,21580,KSHITIJ KUMAR PATEL,1,1,0,1,0,14,0,14,0,31,0,0,0
18,16266,RUDRA CHOWDHURY,3,3,0,2,0,3,0,1.5,0,0,0,2,0
19,5142,ABU ROHAN,4,4,1,3,1,3,0,1.5,0,82,0,2,0
20,9702,ROUNAK SAHA,1,1,0,1,0,0,0,0,0,0,0,0,0
21,14079,SNEHASHISH PAL,1,1,0,1,1,0,0,0,0,0,0,0,0
22,15526,SAMRIDDHA PANDA,1,1,0,0,0,0,0,0,2,43,21.5,0,0
23,18557,TUSHAR DAS,1,1,0,1,1,0,0,0,1,29,29,0,0
