Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,4545,DEBOJYOTI GHOSH,23,23,0,21,3,516,0,28.67,0,10,0,14,0
2,7036,SUBHAM SINGH,17,17,0,16,4,490,0,40.83,0,48,0,8,0
3,6084,WAHID MAHFOOZ,20,20,0,19,3,446,0,27.88,0,8,0,4,0
4,3082,SWARNAVE GHOSAL,16,16,0,14,1,443,0,34.08,5,158,31.6,2,0
5,4903,ABIR CHATTERJEE,18,18,0,12,4,275,1,34.38,14,385,27.5,3,0
6,12387,DIVESH SINGH,14,14,0,10,0,272,0,27.2,0,16,0,5,0
7,7754,PRIYANSHU GAUTAM,19,19,0,12,1,235,0,21.36,50,840,16.8,5,0
8,8724,BHOIROB DE SARKAR,15,15,0,13,2,192,0,17.45,4,158,39.5,2,0
9,10972,ARKADIPTA MANDAL,4,4,0,4,0,145,1,36.25,0,0,0,3,1
10,121,SAIKAT SADHU KHAN,15,15,0,8,2,131,0,21.83,0,0,0,10,1
11,6794,AMRIT NANDY,7,7,0,7,0,131,0,18.71,0,0,0,4,0
12,6929,YASHOVARDHAN SINGH,6,6,0,6,2,106,0,26.5,2,137,68.5,1,0
13,9906,AKSHAZ GIRI,7,7,0,7,0,99,0,14.14,0,0,0,1,0
14,6531,ABHRADEEP SENGUPTA,2,2,0,2,0,37,0,18.5,0,0,0,2,0
15,8779,SUDHANSHU SRIVASTAVA,9,9,1,4,0,31,0,7.75,14,235,16.79,5,0
16,21522,G SATYA VIKAS SHARMA,3,3,0,2,0,29,0,14.5,0,0,0,2,0
17,6530,SOUTRIK DAS,16,16,0,6,6,19,0,19,20,462,23.1,3,0
18,8293,ADITYA CHOWDHURY,8,8,0,4,0,18,0,4.5,7,212,30.29,0,0
19,4874,MAHADEB DATTA,3,3,0,2,0,18,0,9,1,81,81,0,0
20,12438,ROHIT,9,9,0,5,0,8,0,1.6,21,205,9.76,2,0
21,8413,MD TARIQUE ANWAR,14,14,0,8,4,3,0,0.75,10,355,35.5,7,0
22,7375,SHUBHAM MOJUMDAR,1,1,0,1,0,0,0,0,1,18,18,0,0
23,5592,IMAN CHAUDHURI,1,1,0,0,0,0,0,0,0,0,0,0,0
24,8326,SAIKAT PANJA,1,1,1,0,0,0,0,0,0,0,0,1,0
25,7838,HARSH VARDHAN JAJODIA,4,4,0,1,0,0,0,0,0,0,0,2,0
26,2711,SANDEEP YADAV,3,3,0,2,0,0,0,0,11,199,18.09,1,0
