Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,4711,ADITYA DUTTA,15,15,0,15,1,512,0,36.57,22,802,36.45,3,0
2,11476,DHRUB KACHER,14,14,0,14,3,407,0,37,14,554,39.57,2,0
3,7743,DEBANJAN DATTA,10,10,0,10,1,219,0,24.33,14,418,29.86,4,0
4,5555,BIRENDRA SHARMA,11,11,0,11,1,145,0,14.5,8,447,55.88,4,0
5,17978,SATYAM JHA,8,8,0,8,0,124,0,15.5,0,0,0,4,0
6,12333,BIRU HELA,8,8,0,8,0,123,0,15.38,1,87,87,2,0
7,12098,KRISH MITTAL,13,13,0,13,1,117,0,9.75,0,0,0,4,0
8,14180,ANKIT MAHANTA,14,14,0,14,0,95,0,6.79,0,0,0,2,0
9,14963,MAYUKH BISWAS,13,13,0,12,2,94,0,9.4,0,0,0,3,0
10,16300,ANIRUDDHA AICH,15,15,0,13,0,74,0,5.69,24,650,27.08,1,0
11,20826,DEBDUTTA NATH MAJUMDER,14,14,0,13,3,48,0,4.8,2,102,51,2,0
12,12379,DIPANJAN MONDAL,5,5,1,4,0,40,0,10,0,55,0,2,0
13,12969,SAMKARN MODI,3,3,0,3,0,39,0,13,0,0,0,0,0
14,8880,AKASH KUMAR MISHRA,4,4,1,3,0,37,0,12.33,0,11,0,2,0
15,13091,PRIYANSHU MALAKAR,3,3,0,3,0,30,0,10,0,0,0,0,0
16,10056,SAGHNIK KUNTI,6,6,0,5,0,29,0,5.8,0,0,0,1,1
17,10530,ARIJEET DEY,4,4,0,3,1,26,0,13,0,0,0,1,1
18,12403,SOMRUP NASKAR,2,2,0,2,0,22,0,11,0,53,0,1,0
19,18245,KAMAL DHIBAR,3,3,0,2,2,6,0,6,2,28,14,1,0
20,21525,MAYUKH BHATTACHARYYA,3,3,1,2,0,5,0,2.5,0,11,0,1,0
21,12536,GUNAL KUMAR SINGH,1,1,0,1,0,4,0,4,0,0,0,1,0
22,12105,MAYANK DASH,4,4,0,3,1,4,0,2,2,183,91.5,0,0
23,1385,JEETENDRA KUMAR GUPTA,1,1,0,1,0,3,0,3,0,35,0,0,0
24,18265,SOMDEB BHATTACHARYA,2,2,0,2,1,2,0,2,1,46,46,0,0
25,18380,SHUVENDU RANA,1,1,0,1,1,1,0,1,0,13,0,0,0
26,10415,SURAJ SANKI,1,1,0,1,1,0,0,0,1,50,50,0,0
27,8781,MANOHAR KUMAR SAW,1,1,0,1,0,0,0,0,0,0,0,0,0
