Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,3867,RAHUL THAKUR,17,17,0,16,2,538,0,38.43,24,787,32.79,6,0
2,10630,SASANKA DAS,15,15,0,13,0,517,1,39.77,17,437,25.71,4,0
3,6687,BISHAL SIKARI,15,15,0,14,2,470,1,39.17,0,7,0,4,2
4,11473,YASH DWIVEDI,12,12,0,11,1,323,0,32.3,3,20,6.67,1,0
5,7538,RISHAV SHARMA,17,17,0,16,3,238,0,18.31,20,426,21.3,7,0
6,5249,ROHITASWA MANNA,8,8,0,8,1,232,0,33.14,0,0,0,1,0
7,8245,MANISH KUMAR SAH,6,6,0,6,0,192,0,32,0,0,0,5,1
8,9197,BISHAL SAHANI,6,6,1,5,1,119,0,29.75,0,0,0,4,0
9,8394,ABHIK SINHA,15,15,0,10,2,119,0,14.88,25,667,26.68,2,0
10,6573,SHANTANU CHOWDHURY,5,5,0,5,1,111,0,27.75,0,0,0,1,0
11,12568,RUPAM DEY,9,9,0,7,2,88,0,17.6,6,237,39.5,3,0
12,21329,SNAHASISH DAS,5,5,0,5,0,77,0,15.4,0,0,0,3,0
13,11470,ABHINAV MISHRA,8,8,0,6,0,48,0,8,0,0,0,3,0
14,11242,MAHAMUDUR RAHAMAN,2,2,0,2,0,42,0,21,0,0,0,1,0
15,18291,SOUMALLYA MAJUMDAR,3,3,0,3,0,42,0,14,0,0,0,4,0
16,12266,SHUVRAJIT GAIN,2,2,0,2,0,27,0,13.5,1,41,41,0,0
17,14173,RUDRANIL BHAKAT,15,15,0,9,4,25,0,5,21,499,23.76,0,0
18,6697,SHOUBHICK NANDAN DAS,3,3,0,2,1,20,0,20,0,40,0,1,0
19,21679,BRATISH BHUNIA,3,3,0,3,0,17,0,5.67,2,51,25.5,1,0
20,13462,DEBJYOTI BISWAS,3,3,0,3,0,15,0,5,0,0,0,1,0
21,7659,SOUMIK JANA,2,2,0,2,2,15,0,15,3,63,21,0,0
22,17345,SOUMYADEEP DAS,6,6,0,5,2,12,0,4,0,0,0,2,0
23,10509,NILADRI KANJILAL,2,2,0,2,0,9,0,4.5,0,0,0,0,0
24,18618,ASHUTOSH CHAUHAN,6,6,1,4,2,8,0,4,0,0,0,4,0
25,10933,PRIYAM HIRA,2,2,0,2,0,4,0,2,0,2,0,0,0
26,21674,RONIT VERMA,2,2,0,2,0,3,0,1.5,0,0,0,0,0
