Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,8798,ARPAN AICH,15,15,0,15,2,631,2,48.54,2,99,49.5,4,0
2,633,MICHEAL CHAND ROY,13,13,0,12,0,374,0,31.17,0,0,0,10,3
3,8070,PRATIP ROY,15,15,0,12,4,358,0,44.75,24,562,23.42,2,0
4,8731,SAYANTAN PAUL,12,12,0,11,1,304,0,30.4,6,86,14.33,5,0
5,17435,TUFAN ROY,15,15,0,15,3,287,0,23.92,0,12,0,1,0
6,11328,SACHIN SHARMA,9,9,0,9,0,236,0,26.22,0,0,0,0,0
7,7303,MD SAHID SARDAR,7,7,0,6,0,184,0,30.67,0,50,0,9,0
8,486,AVISHEK BARMAN,6,6,0,6,2,119,0,29.75,3,105,35,2,0
9,9237,SOURYA SINGH,6,6,0,6,0,114,0,19,7,192,27.43,4,0
10,9373,SNEHASISH ROY,6,6,0,6,0,71,0,11.83,0,0,0,3,0
11,10184,SOURAV PODDAR,12,12,0,7,4,62,0,20.67,31,500,16.13,4,0
12,21318,SWAPNIL SANYAL,4,4,0,3,0,48,0,16,0,0,0,0,0
13,8725,SOURAPRATIM PATRA,4,4,0,4,0,47,0,11.75,0,37,0,0,0
14,11282,ANIRBAN SARMA,4,4,0,3,1,39,0,19.5,2,100,50,0,0
15,1290,SAYAN MONDAL,14,14,0,7,2,35,0,7,33,607,18.39,5,0
16,11869,DEBOJIT MUKHERJEE,4,4,0,4,0,34,0,8.5,0,0,0,1,0
17,10811,AKASH MAJUMDAR,5,5,0,5,0,30,0,6,0,0,0,2,0
18,15932,PRATYUSH DASTIDAR,3,3,0,2,1,19,0,19,0,23,0,0,0
19,10545,SUMAN MONDAL,4,4,0,3,1,18,0,9,2,79,39.5,2,0
20,10752,ROHAN DAS,1,1,0,1,0,14,0,14,0,8,0,0,0
21,18601,MEHTAB ALAM,2,2,0,2,1,11,0,11,2,83,41.5,0,0
22,13689,ANUBHAB CHATTERJEE,12,12,0,6,2,9,0,2.25,7,246,35.14,2,0
23,13629,SHREYAS NIYOGI,2,2,0,2,1,3,0,3,0,0,0,0,0
24,11271,ARITRA BANDOPADHYAY,1,1,0,1,0,1,0,1,2,22,11,0,0
25,8448,MANAV SHAW,2,2,2,0,0,0,0,0,0,0,0,2,0
