Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,6546,ABHIJOY SAHA,16,16,0,15,1,657,1,46.93,0,0,0,13,1
2,1731,ABHISHEK SINGH,14,14,0,13,5,501,0,62.63,0,0,0,9,0
3,6429,ANURAG ROY,15,15,0,14,2,317,1,26.42,1,66,66,4,0
4,8073,RAHUL KUMAR SAROJ,17,17,0,16,0,307,0,19.19,0,9,0,3,0
5,13414,AYUSH NANDEY,16,16,0,10,3,248,0,35.43,3,257,85.67,3,0
6,6113,SURAJ KARMAKAR,14,14,0,10,3,209,0,29.86,27,717,26.56,5,0
7,18055,AVINISH SINGH,8,8,0,7,0,148,0,21.14,3,83,27.67,4,0
8,9334,SUMAN SETHI,13,13,0,8,1,120,0,17.14,31,549,17.71,6,0
9,7642,ROHAN MITRA,6,6,0,5,0,115,0,23,0,0,0,1,0
10,7970,BAIDURYA DEY,3,3,0,2,0,72,0,36,3,114,38,0,0
11,12394,MD NASIR,15,15,0,8,5,67,0,22.33,22,708,32.18,7,0
12,6426,VIVEK PRASAD MAHATO,5,5,0,5,1,63,0,15.75,0,0,0,7,0
13,13378,RUPAM JANA,16,16,0,11,3,33,0,4.13,8,301,37.63,2,0
14,12489,SAMADRITO BISWAS,7,7,0,7,0,33,0,4.71,7,203,29,1,0
15,9331,BABAI DEY,4,4,0,3,1,21,0,10.5,5,178,35.6,1,0
16,9088,AMAN SINGH,4,4,0,3,0,16,0,5.33,1,54,54,2,0
17,10570,KRISHNA SHARMA,5,5,0,4,1,16,0,5.33,0,0,0,3,0
18,12404,SAURAV TALUKDAR,2,2,0,2,0,14,0,7,0,0,0,1,0
19,9598,ANKIT OJHA,3,3,0,1,0,13,0,13,1,93,93,0,0
20,14695,PAWAN KUMAR SINGH,2,2,0,2,0,8,0,4,0,26,0,0,0
21,18052,RAUPAL GHOSH,1,1,0,0,0,0,0,0,0,4,0,0,0
22,12252,ANJAN MAITY,1,1,0,0,0,0,0,0,0,16,0,0,0
