Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,3074,KAZI JUNAID SAIFI,26,36,0,27,4,1208,5,52.52,4,100,25,14,0
2,8556,PRIYANSHU GAURAV SRIVASTAVA,26,36,0,28,4,820,2,34.17,3,95,31.67,15,0
3,1027,SUMANTA GUPTA,22,28,0,20,5,767,3,51.13,11,406,36.91,15,0
4,6652,AYUSH KUMAR SINGH,20,24,0,19,3,666,1,41.63,3,105,35,6,0
5,5695,KARAN LAL,12,15,0,11,3,473,0,59.13,17,582,34.24,9,0
6,8488,PRIYANK PATEL,19,29,0,19,3,457,0,28.56,0,12,0,14,5
7,6989,PRABHAT MAURYA,20,27,4,14,3,435,1,39.55,5,273,54.6,16,0
8,18653,KOCHER LAXYA MANISBHAI,10,20,0,14,1,407,0,31.31,0,39,0,4,0
9,8691,CHANDRAHAS DASH,6,12,0,7,3,318,0,79.5,0,0,0,0,0
10,5120,DIGANTA NEOGI,12,16,2,9,1,249,0,31.13,0,0,0,5,3
11,5569,DEEPAK KUMAR MAHATO,10,15,6,6,1,169,0,33.8,0,47,0,8,0
12,4904,RONIT GHOSH,13,18,1,8,2,168,0,28,7,300,42.86,7,0
13,1283,SARASIJ MUKHERJEE,10,15,0,6,4,82,0,41,9,553,61.44,2,0
14,1570,SOUMMYADIP MANDAL,21,31,0,7,2,52,0,10.4,40,949,23.73,8,0
15,3719,AKASH SHUKLA,4,5,1,3,2,35,0,35,0,0,0,1,2
16,6934,BALKESH YADAV,20,25,0,8,2,28,0,4.67,30,663,22.1,4,0
17,2466,ANKIT MISHRA,25,34,2,6,2,23,0,5.75,56,1427,25.48,4,0
18,3639,POONISH MEHTA,5,7,0,5,2,21,0,7,16,197,12.31,3,0
19,5808,ABISHEK POREL,1,2,0,2,0,20,0,10,0,8,0,1,0
20,6054,RAHUL BASFORE,8,12,0,5,2,10,0,3.33,8,300,37.5,1,0
21,7481,MANDEEP SINGH,5,5,0,1,1,3,0,3,6,151,25.17,1,0
22,4594,PABITRA SETH,1,2,2,0,0,0,0,0,0,0,0,1,0
23,2153,RAJIV KESHARI,1,1,0,0,0,0,0,0,0,14,0,1,0
