Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,2321,ABUL FARAH,11,11,0,10,0,321,0,32.1,0,4,0,10,2
2,10135,SHUBHAM KUMAR PRASAD,8,8,0,7,0,271,0,38.71,5,158,31.6,2,0
3,7197,HARIS KHAN,12,12,0,12,1,252,0,22.91,0,0,0,7,3
4,11464,MOHAMMED AZEEM BARGUJAR,13,13,0,13,1,214,0,17.83,9,346,38.44,5,0
5,11212,ANSH PODDAR,7,7,0,5,2,208,1,69.33,2,149,74.5,2,0
6,10089,PIYUSH KARAN,11,11,0,10,3,208,0,29.71,19,490,25.79,1,0
7,6038,SUBHAM YADAV,15,15,0,14,2,185,0,15.42,15,447,29.8,2,0
8,8635,AFNAN MOLLA,15,15,0,13,1,160,0,13.33,38,776,20.42,11,0
9,10110,ARYAN ANIL JADHAV,8,8,0,8,2,154,0,25.67,0,0,0,4,1
10,7225,PURAB SAHA,15,15,0,13,3,130,0,13,8,430,53.75,3,0
11,8117,BINAY JAISWAL,9,9,0,8,1,123,0,17.57,1,100,100,4,0
12,19183,MD JUNAID,5,5,0,5,0,108,0,21.6,0,30,0,3,0
13,10669,BRISAB DUTTA,8,8,0,8,1,98,0,14,0,0,0,0,0
14,10534,RANVEER KUMAR DAS,7,7,0,6,1,52,0,10.4,0,0,0,0,0
15,10079,VISHAL MANDAL,2,2,0,2,0,41,0,20.5,0,0,0,1,0
16,12513,ARYAN SAH,2,2,0,2,0,24,0,12,0,0,0,0,0
17,11216,SREYAN MUKHERJEE,2,2,0,2,0,24,0,12,0,9,0,0,0
18,18474,AVISEKH ROY,1,1,0,1,0,15,0,15,0,49,0,1,0
19,18375,DUSHANT SINGH,2,2,0,2,0,8,0,4,3,62,20.67,0,0
20,21494,BISHAL DAS,1,1,0,1,0,5,0,5,0,0,0,0,0
21,16993,MD SERAJ,3,3,0,2,1,4,0,4,0,15,0,0,0
22,10828,VISHAL RAJ,1,1,0,1,0,3,0,3,0,0,0,2,0
23,14506,RITTIK MALLICK,2,2,0,2,1,1,0,1,4,86,21.5,0,0
24,4392,AMAN PROSAD,3,3,0,2,1,0,0,0,2,138,69,0,0
25,15767,KOUSHIK PARUI,1,1,0,1,0,0,0,0,0,0,0,0,0
26,17604,AASHISH KUMAR RAM,1,1,0,1,0,0,0,0,0,5,0,0,0
