Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,4431,SANDIPAN DEY,23,23,0,23,2,1208,5,57.52,32,919,28.72,5,0
2,4770,PRADUNYA SARKAR,22,22,0,22,3,870,2,45.79,33,735,22.27,11,0
3,3907,SUBHADIP BARMAN,20,20,0,18,4,678,2,48.43,0,0,0,5,0
4,3523,MANISH SINGH RAWAT,18,18,0,15,1,516,0,36.86,0,0,0,6,0
5,5891,ASISH BERA,19,19,0,19,2,392,0,23.06,24,547,22.79,3,0
6,7426,SRIJAN CHAKRABORTY,13,13,0,13,1,386,0,32.17,0,0,0,1,0
7,18578,SUBHASH YADAV,23,23,0,18,7,362,0,32.91,0,0,0,22,5
8,7145,DHIMAN MONDAL,15,15,0,15,3,312,0,26,13,373,28.69,13,0
9,560,SUMAN SAHA,22,22,0,17,2,207,0,13.8,4,215,53.75,21,0
10,9056,SHANU QURESHI,3,3,0,3,0,140,0,46.67,1,35,35,0,0
11,6839,LABIB KHAN,21,21,0,10,3,121,0,17.29,46,921,20.02,1,0
12,14170,SUNAYAN ATA,18,18,0,9,3,78,0,13,7,219,31.29,4,0
13,17499,ASPARSH SINGH,19,19,0,9,5,43,0,10.75,19,529,27.84,3,0
14,6261,MUZAMMIL RAJA RAHAMAN,2,2,0,2,1,27,0,27,2,31,15.5,0,0
15,6404,RIK DAS,5,5,0,3,0,25,0,8.33,7,155,22.14,3,0
16,12943,AMAN KHARWAR,2,2,0,1,0,5,0,5,0,0,0,0,0
17,15905,SANMAY BOSE,4,4,0,1,1,4,0,4,0,37,0,0,0
18,16260,SHREEJEET SHIL,3,3,0,1,0,0,0,0,0,0,0,0,0
19,12432,AMAN RAJ ANAND,2,2,1,0,0,0,0,0,1,16,16,2,0
