,,,,,,,,,,,,,,,
Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,3558,TANMOY KUNDU,22,22,0,21,4,582,0,34.24,1,14,14,8,0
2,5787,ARIJIT GOSWAMI,9,9,0,9,1,473,1,59.13,0,3,0,3,0
3,8889,RAJDEEP PASWAN,23,23,0,22,1,401,0,19.1,0,10,0,11,0
4,12371,SHIVAM SINGH,18,18,0,17,2,369,0,24.6,3,182,60.67,7,0
5,12383,SHALABH UMESHCHANDRA SHRIVASTAVA,8,8,0,7,0,356,2,50.86,0,0,0,4,0
6,143,B. ARUN,19,19,0,19,2,324,0,19.06,39,970,24.87,7,0
7,5130,GANESH CHANDRA CHANDA,19,19,0,18,1,310,0,18.24,0,0,0,20,0
8,6464,YUVRAJ GUPTA,7,7,0,7,0,292,0,41.71,0,8,0,0,0
9,8356,DIPAYAN RAHA,12,12,3,8,1,235,0,33.57,6,147,24.5,5,0
10,21601,AKSHAY GULAB DULLARWAR,8,8,0,7,0,211,0,30.14,3,97,32.33,1,0
11,21630,JAY GOYAL,8,8,0,7,1,180,0,30,18,403,22.39,2,0
12,21683,AYUSH,5,5,0,4,0,125,0,31.25,1,17,17,1,0
13,5884,LAXMAN PRASAD GUPTA,6,6,0,6,0,90,0,15,0,0,0,0,0
14,21495,ANKUSH NAGAR,6,6,0,6,1,55,0,11,4,177,44.25,1,0
15,3098,ABDUL KALAM,7,7,0,5,0,49,0,9.8,4,184,46,2,0
16,1089,ADIM SHAHAB,13,13,0,8,2,44,0,7.33,15,385,25.67,1,0
17,9976,DEEPAK KHATRI,3,3,0,3,0,38,0,12.67,2,43,21.5,1,0
18,18603,PUSHPENDRA KUMAR GUPTA,8,8,1,4,0,23,0,5.75,4,191,47.75,4,0
19,6579,SAYEM DUTTA,3,3,0,3,0,22,0,7.33,0,13,0,1,0
20,8692,SWAPNA NIL SEN,6,6,0,5,0,21,0,4.2,7,108,15.43,1,0
21,1989,ABIR DAS,2,2,0,2,0,17,0,8.5,0,0,0,1,0
22,2946,ROHIT KUMAR,5,5,0,4,0,16,0,4,3,150,50,0,0
23,12347,RAHUL PRATAP SINGH,2,2,0,2,2,13,0,13,1,31,31,0,0
24,21552,VIKAS KUMAR ANTIWAL,15,15,0,10,4,13,0,2.17,14,456,32.57,4,0
25,9459,ANKIT MONDAL,2,2,0,2,0,11,0,5.5,0,0,0,0,0
26,8834,RICKY SHARMA,4,4,1,3,0,10,0,3.33,1,74,74,2,0
27,7353,SUBHRANGSHU GHOSH,15,15,0,10,6,7,0,1.75,13,570,43.85,2,0
28,18564,MITHILESH YADAV,2,2,0,1,1,0,0,0,1,68,68,0,0
29,9951,UZAIR ALI KHAN,1,1,0,1,1,0,0,0,1,31,31,0,0
