Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,7147,ARGHYA RAKSHIT,10,10,0,9,1,422,2,52.75,0,0,0,2,0
2,641,SUDIP ROY,11,11,0,10,0,357,1,35.7,17,381,22.41,1,0
3,7932,LALIT MOHAN DAS,14,14,0,13,3,336,0,33.6,0,0,0,5,0
4,6781,ANIMIKH GHOSH,13,13,0,12,0,297,0,24.75,1,52,52,6,0
5,19149,ADITYA MONDAL,9,9,0,7,1,161,0,26.83,6,259,43.17,5,0
6,8875,CHANDAN SHIL,12,12,0,11,0,149,0,13.55,6,186,31,3,0
7,4681,SUBHANKAR BHATTACHARJEE,6,6,0,5,0,138,0,27.6,5,169,33.8,1,0
8,7985,ATANU DEBNATH,12,12,0,10,1,120,0,13.33,6,245,40.83,3,0
9,6608,NISHKARSH SHUKLA,3,3,0,3,0,101,0,33.67,0,0,0,1,1
10,8897,AMIT SARKAR,3,3,0,3,0,86,0,28.67,0,0,0,1,0
11,16582,DEEP SAHA,5,5,0,4,0,85,0,21.25,0,0,0,1,0
12,13727,SOHAM DAS,6,6,0,5,0,54,0,10.8,0,0,0,0,0
13,9190,SK SAHEB,4,4,0,3,1,52,0,26,0,0,0,1,0
14,6972,ANKURDIP BISWAS,3,3,0,3,0,49,0,16.33,4,103,25.75,0,0
15,12334,ANUBHAV VRISHAB DAS,6,6,0,5,1,45,0,11.25,0,0,0,2,0
16,18627,HARSH BIDHUDI,3,3,0,3,1,42,0,21,2,29,14.5,2,0
17,7220,BIJAY JANA,2,2,0,2,0,40,0,20,0,0,0,1,0
18,7695,SK SAFINE,2,2,0,2,0,35,0,17.5,1,35,35,1,0
19,18325,MAJID MD,5,5,0,3,1,28,0,14,4,107,26.75,1,0
20,12539,SUMAN DAS,5,5,0,3,1,27,0,13.5,3,170,56.67,0,0
21,8803,VAIVHAB LAHIRI,5,5,0,2,0,22,0,11,4,169,42.25,1,0
22,21311,HIMANSHU KUMAR,3,3,0,2,0,20,0,10,0,0,0,1,0
23,4560,AKASH SHIL,1,1,0,1,0,12,0,12,0,0,0,0,0
24,15728,SHIVAM CHATTOPADHYAY,13,13,0,7,4,10,0,3.33,17,512,30.12,0,0
25,14468,IRFAN MONDAL,6,6,0,3,2,7,0,7,4,78,19.5,0,0
26,11218,SK FIRDOUSE,1,1,0,1,0,6,0,6,0,0,0,0,0
27,11220,TIRTHARAJ CHATTERJEE,1,1,0,1,0,3,0,3,1,31,31,0,0
28,21328,AKASH KUMAR SINGH,1,1,0,0,0,0,0,0,1,32,32,2,0
