Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,5548,SHAKIR HABIB GANDHI,18,26,0,19,4,1321,5,88.07,3,28,9.33,19,5
2,1871,ARINDAM GHOSH,23,34,0,24,5,1150,3,60.53,0,0,0,7,1
3,1292,JAYOJIT BASU,28,38,0,30,3,955,1,35.37,5,187,37.4,6,0
4,89,VIVEK SINGH,18,26,0,16,2,938,4,67,0,56,0,26,1
5,109,ABHISHEK KUMAR RAMAN,26,37,0,29,5,830,1,34.58,0,14,0,16,0
6,1220,AAMIR GANI,22,30,0,22,5,579,1,34.06,37,1207,32.62,1,0
7,10,PRADIPTA PRAMANIK,14,19,0,12,4,376,1,47,24,759,31.63,9,0
8,1763,EASWARAN ABHIMANYU,8,9,0,7,0,329,1,47,0,0,0,3,0
9,8476,JESAL KARIA,14,15,0,13,3,314,1,31.4,21,362,17.24,7,0
10,1163,PRINANN DUTTA,10,16,0,9,0,284,0,31.56,1,5,5,0,0
11,21480,GANDHI CHIRAG JAYESHKUMAR - 21480,12,12,0,9,2,266,0,38,0,0,0,3,0
12,1840,RITWIK ROY CHOWDHURY,9,14,0,12,1,184,0,16.73,1,46,46,6,0
13,21479,APURV DWIVEDI,10,14,0,12,2,169,0,16.9,0,0,0,8,1
14,890,RAJKUMAR PAL,27,36,0,17,5,144,0,12,54,1322,24.48,6,0
15,7570,RAVI KUMAR,18,22,0,9,6,123,0,41,36,816,22.67,6,0
16,21543,SHUBHAM CHAUBEY,5,6,0,5,2,89,0,29.67,1,38,38,7,0
17,21598,LALIT MANOHARSINGH YADAV,10,14,0,6,0,57,0,9.5,20,327,16.35,3,0
18,114,TUHIN BANERJEE,12,18,2,6,2,30,0,7.5,10,348,34.8,8,0
19,18668,DEEPAK KUMAR,22,32,2,8,4,23,0,5.75,22,861,39.14,10,0
20,3799,SAIKAT BANERJEE,4,7,0,1,0,15,0,15,1,75,75,0,0
21,8401,ANUBHAV TYAGI,10,16,0,6,3,4,0,1.33,13,506,38.92,2,0
22,21642,SUSHANT KUMAR PRADIP,1,2,0,0,0,0,0,0,0,0,0,0,0
23,21492,MONU KUMAR,1,1,0,0,0,0,0,0,4,28,7,0,0
