Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,7906,ANSHUMAN PANDEY,19,19,0,18,3,561,1,37.4,21,761,36.24,11,0
2,18577,ABHISHEK YADAV,15,15,0,13,2,543,0,49.36,4,55,13.75,2,0
3,9802,SAURABH SRIVASTAV,14,14,0,13,3,487,1,48.7,16,498,31.13,10,0
4,7614,ADITYA SINGH,19,19,0,18,2,369,0,23.06,10,603,60.3,2,0
5,5514,VINAYAKAN NAIR,16,16,0,14,2,322,0,26.83,6,164,27.33,4,0
6,593,MRITYUNJAY YADAV,9,9,0,9,2,322,1,46,0,0,0,1,0
7,6185,MD. MODASHIR MALLICK,15,15,1,14,0,235,0,16.79,0,12,0,6,0
8,5348,GOURAV YADAV,15,15,0,12,2,221,0,22.1,0,0,0,10,5
9,9752,AMAR CHAUDHARY,15,15,0,11,4,194,0,27.71,53,893,16.85,2,0
10,18383,RANJEET KUMAR AGRAWAL,9,9,0,7,1,181,1,30.17,11,224,20.36,4,1
11,21319,ANUJ SINGH,10,10,0,8,1,89,0,12.71,0,0,0,2,0
12,107,SOUREN ROY,7,7,0,6,1,85,0,17,0,0,0,2,0
13,2550,AMBIKESHWAR MISHRA,2,2,0,2,0,43,0,21.5,0,86,0,0,0
14,9165,MAYANK AHALANI,7,7,0,6,0,38,0,6.33,1,29,29,1,0
15,12558,MOHAMMAD SHAMSHU ZAMAN,2,2,0,1,1,32,0,32,1,24,24,0,0
16,10294,DIPTARUP NANDY,4,4,0,3,1,31,0,15.5,0,29,0,0,0
17,6065,MD. SAHIM HASAN,4,4,0,4,0,29,0,7.25,0,0,0,4,0
18,18558,MADHAV KUMAR,6,6,0,4,1,23,0,7.67,6,127,21.17,2,0
19,10971,ARITRA MANNA,1,1,0,1,0,23,0,23,0,0,0,0,0
20,9315,DEBARPAN BHATTACHARYA,9,9,0,3,1,21,0,10.5,7,270,38.57,0,0
21,21600,VISHAL KUMAR YADAV,7,7,1,4,1,13,0,4.33,0,10,0,2,0
22,12511,AMAN SINGH,1,1,0,1,0,12,0,12,0,0,0,0,0
23,12463,KUNDAN KUMAR,7,7,0,7,2,11,0,2.2,0,0,0,1,0
24,21677,AKASH SHARMA,7,7,0,5,0,10,0,2,2,105,52.5,2,0
25,3114,AMIN IKBAL KHAN,1,1,0,1,0,8,0,8,0,0,0,0,0
26,3802,MOHD. JAVED,5,5,0,4,0,1,0,0.25,3,133,44.33,2,0
27,18694,MOHD. AMJAD,1,1,0,0,0,0,0,0,0,0,0,0,0
28,7196,TANISHK ROY,2,2,0,2,0,0,0,0,0,0,0,0,0
29,8534,HARIOM MISHRA,4,4,0,1,0,0,0,0,2,121,60.5,1,0
