Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,5063,INDRAJIT ORANG,16,16,0,15,1,445,1,31.79,0,7,0,6,0
2,3372,SALMAN KHAN,15,15,0,14,0,393,0,28.07,11,368,33.45,4,2
3,2069,BHAGIRATH KUMAR RAJWAR,12,12,0,11,0,332,0,30.18,26,582,22.38,4,0
4,11034,MD. IMRAN ALAM,15,15,0,14,1,296,0,22.77,12,384,32,5,0
5,18034,RAHUL PATEL,11,11,1,9,0,292,1,32.44,9,205,22.78,12,0
6,6338,SUBHRAJYOTI MISHRA,7,7,0,7,0,227,1,32.43,0,50,0,0,0
7,5663,HARSH SHARMA,6,6,0,5,0,221,0,44.2,7,332,47.43,4,0
8,10997,PRASHANT SHARMA,13,13,1,11,0,206,0,18.73,0,0,0,7,0
9,2403,NIRANJAN ROUTH,9,9,0,8,2,125,0,20.83,6,175,29.17,3,0
10,10800,RAHUL KUMAR PARIDA,5,5,0,5,0,119,0,23.8,0,0,0,6,0
11,7525,JAGDISH PRADHAN,5,5,0,5,1,91,0,22.75,7,271,38.71,2,0
12,20161,GULFAM RAZA,11,11,0,7,3,65,0,16.25,4,71,17.75,2,0
13,18082,SAYAN NANDI DAS,2,2,0,2,0,48,0,24,0,0,0,0,0
14,21484,ADITYA CHAUHAN,5,5,0,4,0,47,0,11.75,0,0,0,1,0
15,13930,DEBANJAN GUPTA,6,6,0,5,0,34,0,6.8,1,45,45,2,0
16,12456,ARYAN HELA,3,3,0,3,1,24,0,12,3,114,38,1,0
17,14157,ARYAN KUMAR SINGH,4,4,0,4,2,24,0,12,7,55,7.86,1,0
18,18540,ANKIT YADAV,1,1,0,1,0,21,0,21,1,61,61,1,0
19,15950,CHHOTU KUMAR SINGH,13,13,0,9,5,19,0,4.75,11,350,31.82,8,0
20,18074,JITESH BHAI PATEL,3,3,0,3,2,16,0,16,0,31,0,1,0
21,13927,RAJ GUPTA KABIRAJ,2,2,0,2,0,11,0,5.5,0,0,0,0,0
22,4538,ANJIT MONDAL,5,5,0,4,0,6,0,1.5,0,0,0,1,0
23,10994,AVISHEK KUMAR SHAW,2,2,1,1,1,2,0,2,1,18,18,1,0
24,8546,GOURAV SHARMA,4,4,2,1,0,0,0,0,1,46,46,2,0
25,4355,SOURAV DAWN,1,1,0,0,0,0,0,0,5,79,15.8,0,0
26,291,PRANAB PRASAD,5,5,0,2,1,0,0,0,13,376,28.92,0,0
