Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,130,DEBAGNI BASU,17,17,0,16,1,544,1,36.27,0,0,0,5,0
2,188,AADIT OSATWAL,17,17,0,16,1,496,0,33.07,0,0,0,2,0
3,116,PURAB JOSHI,16,16,0,13,1,420,0,35,7,116,16.57,6,0
4,1527,JAYJEET JAISWAL,6,6,0,6,1,365,2,73,0,3,0,1,1
5,485,SUDEEP BHATTER,16,16,0,11,1,327,0,32.7,0,0,0,17,5
6,13522,SAYAK JANA,12,12,0,10,2,180,0,22.5,14,294,21,3,0
7,12121,SIDDARTH SINHA,14,14,0,12,1,161,0,14.64,10,195,19.5,1,0
8,8121,ABHISHEK TEHLANI,10,10,0,8,3,115,0,23,9,219,24.33,0,0
9,9100,ARKA BATABYAL,14,14,0,12,2,106,0,10.6,13,371,28.54,7,0
10,20026,AVNISH SHAHI,10,10,0,8,0,103,0,12.88,1,64,64,1,0
11,4840,ANKIT MANDAL,13,13,0,10,3,97,0,13.86,17,427,25.12,3,0
12,10497,RAKESH MAHATA,16,16,0,10,5,40,0,8,32,630,19.69,1,0
13,11280,GOURAV DEBNATH,4,4,0,3,0,23,0,7.67,3,68,22.67,0,0
14,14048,ABHRAJIT MANNA,7,7,0,4,1,19,0,6.33,4,127,31.75,0,0
15,973,PRATEEK SINGH KATARIA,4,4,0,3,0,17,0,5.67,4,114,28.5,2,0
16,14516,ANKUSH GHATAK,10,10,1,7,2,15,0,3,7,284,40.57,3,0
17,19323,MOHAMMAD ANAS ANSARI,3,3,2,1,0,12,0,12,0,0,0,5,0
18,3489,MD NASIR,3,3,0,3,1,6,0,3,3,138,46,0,0
19,9157,HARSH BIHANI,1,1,0,1,0,6,0,6,0,0,0,0,0
20,18535,ADITYA SINGH,3,3,0,1,0,5,0,5,0,18,0,1,0
21,12510,RAJ SAHA,2,2,0,1,0,5,0,5,3,40,13.33,1,0
22,14577,SOHAM SAHA,2,2,1,0,0,0,0,0,0,0,0,1,0
23,19307,PRANTIK KARAN,2,2,0,2,0,0,0,0,0,0,0,1,0
