Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,1901,SUROJIT JADAV,20,29,0,23,0,618,0,26.87,0,0,0,5,0
2,3634,ARIKTA DAS,20,29,0,23,5,564,1,31.33,3,209,69.67,14,0
3,4159,ANKIT SHUKLA,12,17,0,12,0,390,0,32.5,0,0,0,1,0
4,3031,ABHISEK TAMANG,19,28,0,21,5,365,0,22.81,12,626,52.17,5,0
5,528,MD. ARIF ANSARI,15,24,0,19,2,263,0,15.47,0,0,0,19,1
6,5150,DIBYA MAJUMDER,12,20,0,16,2,237,0,16.93,0,0,0,6,0
7,8263,NURUDDIN MONDAL,13,22,0,14,2,194,0,16.17,27,705,26.11,2,0
8,1402,ASHRAY JHA,10,17,0,13,1,187,0,15.58,0,12,0,3,0
9,21633,NAYAN RAJKUMAR CHAVAN,2,4,0,3,0,172,1,57.33,0,0,0,0,0
10,7269,PRITISH MONDAL,8,12,0,11,0,167,0,15.18,0,0,0,0,0
11,3083,SANDIPAN DAS (JR),19,29,0,18,3,161,0,10.73,37,1025,27.7,4,0
12,665,SOUVICK GHOSH,9,13,0,11,1,120,0,12,6,313,52.17,2,0
13,21325,MOHIT RAJESH RAUT,8,9,0,9,1,99,0,12.38,8,135,16.88,4,0
14,7060,VINEET MAURYA,8,12,2,7,1,86,0,14.33,5,215,43,5,0
15,7919,MD. IQBAL UMAR,6,7,0,4,0,49,0,12.25,2,101,50.5,0,0
16,7575,DILSHAD KHAN,16,21,0,11,5,41,0,6.83,23,602,26.17,4,0
17,507,TANUJIT ACHARJEE,4,5,0,5,0,36,0,7.2,0,0,0,1,0
18,7087,AKASH GHOSH,4,5,0,3,0,28,0,9.33,0,0,0,1,0
19,3790,ANANTA SAHA,18,25,0,11,7,24,0,6,19,585,30.79,1,0
20,21489,PAWAN MAHADEO PARNATE,3,4,0,3,0,20,0,6.67,0,0,0,2,0
21,4504,DIPANKAR PAIK,3,5,0,3,1,11,0,5.5,0,0,0,1,0
22,6739,RONIT MITRA,2,3,1,1,0,5,0,5,0,28,0,1,0
23,3386,MD SAIF,2,4,0,1,1,0,0,0,3,129,43,1,0
