Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,9937,JOYDEB NATH,15,15,0,15,0,638,2,42.53,2,54,27,6,0
2,4417,LABIBUR RAHMAN,15,15,0,15,3,432,0,36,20,702,35.1,6,0
3,5501,PANKAJ SINGH,14,14,0,13,2,350,0,31.82,0,0,0,8,0
4,4361,ANKESH KUMAR ROY,15,15,0,14,3,345,0,31.36,24,686,28.58,4,0
5,9318,VIRANCA PODDAR,9,9,0,9,1,317,0,39.63,9,308,34.22,3,0
6,14131,LUV KESHRI,4,4,0,4,0,259,1,64.75,2,80,40,4,0
7,12373,CHANDAN GIRI,15,15,0,13,4,253,0,28.11,7,230,32.86,6,0
8,10786,AAHAN AGARWAL,10,10,0,10,0,163,0,16.3,0,0,0,8,2
9,16499,ANSH CHITLANGIA,10,10,0,8,1,73,0,10.43,0,0,0,0,0
10,16479,SUBHAM PARIDA,6,6,0,5,2,29,0,9.67,0,0,0,1,0
11,21371,SOURAV KUMAR,5,5,0,5,1,28,0,7,10,396,39.6,1,0
12,5962,SAHIL KAMRAN,2,2,0,2,0,24,0,12,0,0,0,1,1
13,6881,SUDHAKAR SINGH,11,11,0,6,1,22,0,4.4,13,360,27.69,3,0
14,9762,TEJ PRATAP YADAV,4,4,0,3,0,22,0,7.33,10,211,21.1,0,0
15,12493,RAJAT KUMAR YADAV,5,5,0,3,1,20,0,10,9,268,29.78,2,0
16,10943,AMRIT SINGH,2,2,0,2,0,11,0,5.5,2,74,37,0,0
17,9970,S CHANDRA SHEKAR,5,5,0,2,0,8,0,4,0,0,0,7,0
18,14132,SARWAN SHAW,12,12,0,7,2,4,0,0.8,0,0,0,2,0
19,16485,VIIVAAN DROLIA,2,2,0,2,0,3,0,1.5,0,0,0,0,0
20,5880,SUDEEP SHARMA,4,4,1,0,0,0,0,0,3,71,23.67,2,0
21,9025,SURAJ KUMAR,1,1,1,0,0,0,0,0,0,0,0,1,0
22,13322,SOHAN SHAW,1,1,0,1,0,0,0,0,0,0,0,1,0
