Sl,Code,Name,Match,Ing,Sub,Bat,Not-out,Run,Cen,BatAvg,Wkt,Wkt-Run,R/W,Catch,St
1,7098,MILIND MANDAL,19,19,0,19,0,865,2,45.53,17,582,34.24,6,0
2,5684,RAVI KANT SHUKLA,18,18,0,18,5,582,0,44.77,0,0,0,3,0
3,3010,FAHIM NAAZ,18,18,0,17,5,507,1,42.25,0,0,0,8,0
4,21584,AMIT GAUTAM,12,12,0,12,0,477,1,39.75,0,0,0,12,0
5,21407,PAPPU SINGH,16,16,0,13,3,298,0,29.8,0,0,0,7,5
6,1132,KAUSHIK GIRI,16,16,0,12,3,221,0,24.56,12,400,33.33,2,0
7,7310,ROHIT PRADHAN,10,10,0,10,0,206,0,20.6,0,0,0,4,0
8,638,NOMAN MANZOOR,22,22,0,13,4,204,0,22.67,42,1208,28.76,3,0
9,3616,ABHISHEK DAS,8,8,0,6,0,186,0,31,4,151,37.75,4,0
10,7432,SANJAY BALMIKI,7,7,0,6,0,175,0,29.17,0,0,0,1,0
11,8486,AAKASH VERMA,6,6,0,6,1,171,1,34.2,0,0,0,1,0
12,9350,DRON CHATTERJEE,16,16,0,12,0,127,0,10.58,4,349,87.25,5,0
13,6004,SAYAN DEY,9,9,0,9,1,112,0,14,4,130,32.5,2,0
14,8430,FAIZ AHMAD,7,7,0,6,1,72,0,14.4,0,13,0,2,0
15,5798,ANISH BISWAS,16,16,0,9,2,49,0,7,22,568,25.82,5,0
16,5072,ANAND KUMAR SINGH,6,6,0,4,0,46,0,11.5,6,147,24.5,0,0
17,5758,SK FARDEEN HAQUE,13,13,1,8,4,31,0,7.75,22,518,23.55,3,0
18,9345,PABITRA BERA,4,4,0,1,0,30,0,30,0,0,0,4,1
19,4931,BISHAL GHOSH,1,1,0,1,0,23,0,23,0,0,0,0,0
20,3238,MD MERAJ ALAM,2,2,0,2,0,21,0,10.5,0,0,0,2,0
21,7075,SHIVAM ROY,10,10,0,6,2,18,0,4.5,12,347,28.92,4,0
22,403,SRIJIT GHOSHAL,2,2,0,2,0,13,0,6.5,0,0,0,0,0
23,8839,SAHIL ROY,3,3,0,1,1,2,0,2,4,95,23.75,0,0
24,21551,ASHUTOSH UPADHYAY,1,1,0,1,0,1,0,1,1,34,34,0,0
25,8382,SANJIB PATRA,1,1,1,0,0,0,0,0,0,0,0,2,0
26,6245,SIDDHARTH SINGH,1,1,0,0,0,0,0,0,2,41,20.5,0,0
